Symbol,Date,Close
GOOG,"Nov 27, 2019",65.65
GOOG,"Nov 29, 2019",65.25
GOOG,"Dec 2, 2019",64.5
GOOG,"Dec 3, 2019",64.76
GOOG,"Dec 4, 2019",66.03
GOOG,"Dec 5, 2019",66.41
GOOG,"Dec 6, 2019",67.03
GOOG,"Dec 9, 2019",67.18
GOOG,"Dec 10, 2019",67.23
GOOG,"Dec 11, 2019",67.25
GOOG,"Dec 12, 2019",67.51
GOOG,"Dec 13, 2019",67.39
GOOG,"Dec 16, 2019",68.06
GOOG,"Dec 17, 2019",67.76
GOOG,"Dec 18, 2019",67.63
GOOG,"Dec 19, 2019",67.8
GOOG,"Dec 20, 2019",67.48
GOOG,"Dec 23, 2019",67.44
GOOG,"Dec 24, 2019",67.18
GOOG,"Dec 26, 2019",68.02
GOOG,"Dec 27, 2019",67.59
GOOG,"Dec 30, 2019",66.81
